"Respnum","Month","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_problem","believer_immediacy","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_algore","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","nonbeliever_factor_open","nonbeliever_factor_open_coded","gw_noevidence","gw_scioverstate","gw_earthtoobig","gw_nattrend","gw_mediaoverstate","fftax_support_v1","gastax_support_v1","electrictax_support_v1","carbontax_revuse_v1","carbontax_revuseimpact","nuclear_support","worldviews_useconomy","worldviews_econimprove","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","Weight"
263,3,25,3,"IOWA",3,1,2,3,1,1,"SCIENTIFIC EVIDENCE",4,2,2,3,3,4,3,2,2,,,3,2,1,4,3,2,3,4,1,1,98,3,3,,1,1,3,1,4,2,,2,0.9
264,3,30,4,"IOWA",3,1,2,1,2,1,"WHAT WE READ AND HEAR ABOUT",6,1,3,4,2,4,2,1,2,,,3,3,3,4,3,98,2,3,1,1,2,3,1,1,1,1,3,1,2,2,,2,0.42
265,3,27,3,"NEW YORK",1,2,,,,,,,,,,,,,,,"NATURAL TRENDS OF TEMPERATURES",2,1,1,2,1,1,4,4,4,6,,1,4,2,1,3,,4,1,4,2,5,1,0.685
266,3,27,2,"NEW YORK",1,1,1,1,1,1,"MEDIA",6,1,3,1,4,1,1,1,1,,,4,4,4,4,4,2,2,2,1,1,4,3,1,1,7,,4,5,1,5,6,2,0.44
267,3,23,3,"NEW YORK",1,1,2,1,1,1,"TERRIBLE WEATHER CONDITIONS",3,2,2,2,1,3,3,2,1,,,4,3,3,4,3,2,4,3,1,1,2,4,2,1,6,,3,5,4,3,,2,0.77
268,3,28,3,"NEW YORK",1,1,1,1,1,1,"READING",6,1,1,1,2,1,3,1,1,,,4,4,4,3,4,2,2,2,1,1,4,4,2,1,2,,5,5,4,98,6,1,0.645
269,3,25,4,"NEW YORK",1,1,1,1,1,1,"NOT SURE",10,2,98,4,3,4,4,2,3,,,3,98,3,4,98,2,2,4,1,3,98,4,1,,2,,2,1,1,2,2,1,1.165
270,3,22,3,"MICHIGAN",3,98,,,,,,,,,,,,,,,,,2,1,98,1,1,4,4,4,2,98,4,3,2,1,6,,5,2,4,3,6,2,0.37
271,3,25,3,"MICHIGAN",3,2,,,,,,,,,,,,,,,"CYCLICAL TRENDS",2,1,1,1,1,1,4,4,4,1,3,1,4,2,1,1,1,2,3,2,1,,2,1.07
272,3,23,4,"MICHIGAN",3,2,,,,,,,,,,,,,,,"CYCLE",2,1,98,3,3,2,2,3,4,1,98,2,3,1,1,1,2,4,2,2,1,3,1,0.905
273,3,18,3,"MICHIGAN",3,1,1,3,1,1,"WARMER TEMPERATURES",2,1,1,2,3,4,4,1,4,,,4,4,4,4,3,4,4,4,6,,3,3,3,1,2,,4,1,1,4,4,2,0.45
274,3,25,3,"NEW YORK",1,1,1,1,1,1,"TEMPERATURES ARE GETTING HOTTER EVERY YEAR",2,1,1,1,1,4,1,1,1,,,4,1,1,4,4,4,4,4,1,3,4,4,2,1,6,,2,1,4,5,2,1,1.385
275,4,4,3,"NEW YORK",1,2,,,,,,,,,,,,,,,"NOT SURE",9,2,3,3,2,98,2,2,3,6,,4,3,3,1,2,,3,1,2,2,1,1,1.075
276,3,20,4,"NEW YORK",1,2,,,,,,,,,,,,,,,"SEVERE WINTERS",1,1,1,98,98,1,4,4,4,98,,3,4,1,1,1,2,2,1,2,3,98,2,0.72
277,3,21,3,"ARIZONA",4,2,,,,,,,,,,,,,,,"NONE",8,3,3,98,98,2,3,3,4,6,,1,3,1,1,,,5,2,2,3,,1,0.635
278,3,21,4,"ARIZONA",4,1,2,1,1,1,"PERSONAL OBSERVATIONS",2,1,1,2,98,2,1,98,2,,,4,2,4,4,2,2,2,2,1,1,2,3,1,2,1,2,5,4,1,,,1,0.915
279,3,30,3,"ARIZONA",4,1,1,2,3,2,"THE FACTS OF HISTORY",9,4,2,2,1,4,4,4,4,,,4,4,1,4,98,4,4,4,3,3,4,4,2,1,1,2,3,1,2,3,2,2,0.81
280,4,5,4,"ARIZONA",4,1,2,2,4,2,"TEMPERATURE",2,4,4,4,4,4,4,4,4,,,4,1,4,1,1,4,4,4,4,3,1,4,2,1,1,1,4,2,4,2,6,1,0.355
281,3,24,4,"ARIZONA",4,2,,,,,,,,,,,,,,,"DIFFERENT",9,1,1,2,1,1,4,4,2,1,3,3,4,2,1,1,2,3,1,2,2,6,2,0.43
282,3,22,4,"NEW YORK",1,1,2,2,2,1,"NOT SURE",10,1,4,2,4,4,4,2,2,,,4,4,4,2,4,1,1,3,1,3,4,3,1,,,,5,2,,,,1,0.415
283,3,24,3,"ARIZONA",4,1,2,3,2,98,"THE NEWS",6,2,4,4,3,4,3,1,3,,,2,2,98,2,3,3,3,3,6,,98,4,3,1,7,,3,3,4,1,1,2,0.8
284,3,18,3,"CALIFORNIA",4,1,2,1,3,2,"NEWS",6,1,4,2,98,4,4,1,2,,,3,4,4,4,3,4,4,4,2,,4,4,2,1,,,5,5,3,2,4,1,0.655
285,3,24,1,"CALIFORNIA",4,1,1,1,1,1,"ERODING BEACHES AND MANS NEGLECT OF THE ENVIRNONMENT",11,1,1,1,1,3,3,2,1,,,3,3,4,3,2,4,4,4,1,3,4,4,2,1,6,,5,5,4,5,5,1,1.435
286,3,24,3,"CALIFORNIA",4,2,,,,,,,,,,,,,,,"GOD CREATED THE WEATHER",6,1,1,2,1,1,4,4,4,2,98,4,4,2,9,2,,2,1,4,3,3,1,4.435
287,4,1,1,"CALIFORNIA",4,1,2,1,1,1,"WEATHER IS CHANGING",3,1,1,1,1,4,4,2,1,,,3,3,3,3,3,4,4,4,2,3,2,4,3,1,1,2,3,1,2,98,1,2,1.61
288,4,3,4,"CALIFORNIA",4,2,,,,,,,,,,,,,,,"SCIENTISTS THEORIES",3,1,1,1,1,1,4,4,4,1,3,1,4,2,1,1,1,5,5,3,98,4,1,0.305
289,3,25,3,"CALIFORNIA",4,1,1,1,1,1,"GLACIERS MELTING",1,1,4,1,4,4,4,1,4,,,4,4,4,4,4,4,4,4,1,1,1,4,3,1,2,,4,5,1,3,6,1,0.705
290,3,30,2,"CALIFORNIA",4,1,1,1,1,1,"WILDFIRES AND MUDSLIDES",3,1,2,2,1,2,2,2,1,,,4,4,4,4,4,1,2,2,1,1,1,4,1,1,2,,4,5,1,4,5,1,0.695
291,3,24,3,"VIRGINIA",2,2,,,,,,,,,,,,,,,"INCONSISTANT",9,2,2,98,2,2,98,4,4,6,,98,4,3,1,1,2,3,1,4,3,5,2,0.76
292,3,31,5,"VIRGINIA",2,1,1,3,4,1,"TEMPERATURE",2,2,1,1,1,98,4,3,2,,,4,1,4,1,1,4,4,4,1,1,4,4,3,,,,2,1,,3,,2,1.2
293,3,25,2,"VIRGINIA",2,1,2,2,3,2,"WEATHER",3,1,1,3,3,98,1,2,1,,,1,1,2,2,1,4,4,4,2,2,2,3,1,1,1,1,4,5,,1,3,1,1.265
294,3,27,4,"VIRGINIA",2,1,2,2,2,1,"READING",6,1,4,4,4,4,4,4,4,,,4,2,3,2,2,1,2,1,1,3,1,3,1,1,2,,4,1,2,2,4,1,0.365
295,3,30,4,"OREGON",4,1,2,3,2,2,"SHORT SEASONS",3,2,2,4,3,4,2,1,2,,,3,3,2,2,3,3,3,3,6,,3,3,3,1,2,,4,2,4,2,3,2,0.63
296,3,27,3,"OREGON",4,1,1,3,1,1,"COMPUTER CHARTS AND PERSONAL OBSERVATION",4,1,3,1,3,4,3,1,3,,,4,4,4,4,4,2,4,2,1,1,3,3,3,1,1,2,4,5,2,1,3,2,0.98
297,3,23,4,"OREGON",4,1,1,1,2,1,"LOCAL TEMPERATURE OBSERVATIONS",2,1,1,1,4,1,4,1,4,,,2,3,3,4,4,2,2,2,1,1,4,4,1,1,6,,2,1,1,2,3,2,1.28
298,3,29,4,"OREGON",4,2,,,,,,,,,,,,,,,"ICE CAPS",9,3,3,98,3,3,3,4,4,1,3,98,4,2,1,6,,3,1,4,3,1,2,0.45
299,3,18,3,"OREGON",4,1,2,3,2,1,"THE ICE MELTING",1,1,2,4,4,4,3,1,4,,,3,3,2,2,3,4,3,3,6,,4,3,3,1,1,1,3,2,4,2,4,2,0.8
300,3,31,1,"CALIFORNIA",4,2,,,,,,,,,,,,,,,"AVERAGE TWMPERATURES",1,3,2,3,3,2,4,4,4,6,,4,4,2,1,1,1,5,1,2,2,6,2,1.18
301,3,23,3,"CALIFORNIA",4,1,2,1,1,1,"WEATHER",3,1,1,2,4,4,2,3,2,,,2,2,3,98,2,2,2,2,1,1,98,3,1,9,1,1,2,4,98,2,2,2,2.65
302,3,25,4,"FLORIDA",2,98,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,4,2,1,4,4,2,1,2,,2,3,1,3,1,2,0.75
303,3,22,2,"FLORIDA",2,1,1,1,1,1,"HURRICANES",3,1,3,2,1,4,2,1,2,,,3,3,3,3,3,1,4,2,1,1,1,3,1,9,2,,2,1,1,3,4,2,3.43
304,3,22,3,"CALIFORNIA",4,98,,,,,,,,,,,,,,,,,3,3,4,2,3,4,4,4,6,,4,4,3,9,2,,2,1,4,3,1,2,3.64
305,3,21,2,"CALIFORNIA",4,1,1,1,1,1,"DROUGHTS CAUSING WILD FIRES AND PROLONGED RAIN CAUSING MUDSLIDES",3,2,1,1,1,4,3,2,1,,,4,4,4,3,4,4,4,4,1,1,4,3,1,1,2,,4,4,2,4,5,2,0.42
306,3,25,4,"PENNSYLVANIA",1,1,2,1,1,1,"POLAR ICE CAPS",1,1,2,2,2,4,4,2,4,,,4,3,4,3,4,4,4,4,1,3,2,4,3,1,2,,2,1,2,1,4,1,1.015
307,3,24,2,"PENNSYLVANIA",1,1,1,2,2,1,"RESEARCH",4,1,2,2,1,4,4,1,3,,,3,3,3,4,3,3,3,3,1,3,2,3,3,1,1,2,4,5,1,3,6,1,0.715
308,3,22,3,"PENNSYLVANIA",1,2,,,,,,,,,,,,,,,"NATURAL CREATION OF CYCLES",2,2,2,2,1,1,4,4,4,2,2,4,4,2,1,,,4,1,4,3,,2,0.42
309,3,22,4,"PENNSYLVANIA",1,2,,,,,,,,,,,,,,,"STILL COLD OUT",1,2,2,2,2,2,3,3,3,6,,2,4,3,1,2,,5,1,2,2,2,2,0.05
310,3,21,3,"PENNSYLVANIA",1,1,2,3,2,98,"READING AND LISTENING",6,2,2,4,1,4,1,1,3,,,3,3,3,3,2,4,4,4,1,3,1,2,3,1,,,2,1,,,,1,1.345
311,3,22,3,"PENNSYLVANIA",1,1,98,3,4,2,"NO PROOF",10,4,4,4,4,4,4,4,4,,,1,1,98,98,1,4,4,4,6,,4,4,2,1,1,1,1,1,3,5,1,1,1.625
312,3,27,2,"PENNSYLVANIA",1,1,2,2,2,2,"REPORTS I HAVEE READ",6,1,4,2,1,4,4,2,4,,,3,1,2,1,1,4,4,4,6,,2,4,2,1,1,2,4,3,2,2,6,2,0.44
313,4,4,4,"PENNSYLVANIA",1,2,,,,,,,,,,,,,,,"DURING MY YEARS I HAVE NOT SEEN MANY CHANGES",1,4,2,1,1,2,4,4,4,1,3,3,4,2,1,6,,1,1,4,1,2,1,1.285
314,3,30,2,"MISSOURI",3,2,,,,,,,,,,,,,,,"TOO MANY LIES",4,2,2,98,3,2,3,3,2,6,,2,4,1,1,1,1,5,3,,2,2,1,1.485
315,4,3,4,"INDIANA",3,1,1,3,2,98,"NEWS",6,2,4,4,2,1,4,1,2,,,4,3,98,4,4,4,4,4,1,2,4,4,2,1,1,2,2,1,1,4,2,2,0.76
316,3,18,4,"INDIANA",3,1,2,2,2,2,"IT IS THE WAY THE EARTH WAS CREATED",9,4,4,4,4,4,4,4,4,,,3,2,3,1,3,1,4,4,1,3,4,3,3,1,1,2,2,5,4,3,2,1,1.035
317,4,5,4,"NEW MEXICO",4,1,2,1,3,2,"TREES",14,1,1,2,2,98,1,2,1,,,1,2,3,3,1,4,4,4,6,,4,4,3,1,1,1,3,1,2,2,3,1,1.255
318,4,4,4,"NEW MEXICO",4,1,1,3,2,2,"TEMPERATURES",2,2,2,2,3,4,2,2,3,,,2,2,4,2,2,4,4,4,6,,4,4,2,10,1,2,5,1,4,98,3,2,0.57
319,3,28,3,"NEW MEXICO",4,1,2,3,1,1,"HOTTER CLIMATES AND SEVERE WEATHER",2,2,1,2,2,3,3,2,2,,,3,3,4,3,3,3,3,3,1,3,3,3,3,1,1,2,4,2,2,1,4,2,0.44
320,3,18,3,"OKLAHOMA",2,1,2,2,1,1,"ATMOSPHERIC CHANGES",10,98,1,4,2,4,1,98,1,,,2,2,3,2,2,4,4,4,98,,4,4,3,1,6,,3,5,1,1,98,2,0.78
321,4,4,3,"OKLAHOMA",2,1,1,2,1,1,"OBSERVATION",2,1,1,2,1,4,1,1,1,,,4,4,98,2,4,4,4,4,1,1,2,4,2,1,1,1,2,1,2,1,1,2,1.1
322,3,21,3,"OKLAHOMA",2,98,,,,,,,,,,,,,,,,,4,4,98,2,1,4,4,4,1,3,4,4,3,1,1,2,5,1,1,2,3,2,0.92
323,3,31,3,"NEW YORK",1,1,1,3,2,2,"WHAT I AM READING AND WATCHING ON TV",6,2,3,4,4,4,4,4,4,,,3,3,4,4,2,4,4,4,1,2,98,3,3,1,2,,4,1,1,2,,1,0.695
324,3,18,3,"NEW YORK",1,98,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,4,1,1,4,4,2,1,1,1,1,1,3,4,1,2,1.35
325,3,22,4,"MICHIGAN",3,2,,,,,,,,,,,,,,,"HOAX",9,1,1,1,1,1,4,4,4,6,,1,4,1,1,2,,4,2,2,2,3,1,0.905
326,4,4,4,"MICHIGAN",3,1,2,98,2,1,"READING",6,2,2,2,1,,2,2,2,,,2,98,98,98,98,4,4,4,2,1,4,4,3,1,1,1,2,1,1,2,3,2,1.28
327,3,30,3,"MISSISSIPPI",2,1,3,2,4,98,"SOMETHING TO DO WITH SPACE",10,2,2,3,1,4,2,2,2,,,3,3,2,3,3,3,2,2,3,2,4,4,2,2,1,2,1,1,1,3,1,1,2.265
328,4,1,4,"MISSISSIPPI",2,1,1,1,1,1,"HOTTER",2,1,1,1,1,98,1,1,1,,,1,4,4,4,4,4,3,4,6,,4,4,3,2,6,,1,1,1,1,2,1,1.915
329,4,5,4,"MISSISSIPPI",2,1,1,1,1,1,"PERSONAL OBSERVATION",2,1,2,1,1,3,4,1,3,,,4,4,4,4,4,2,2,4,2,1,4,3,2,2,6,,5,5,4,3,1,2,0.67
330,3,18,3,"ARIZONA",4,98,,,,,,,,,,,,,,,,,2,2,2,3,1,4,4,4,1,2,1,4,3,1,6,,2,1,4,2,98,1,1.345
331,3,23,3,"ARIZONA",4,1,3,3,2,1,"ICE GLACIERS MELING",1,1,2,2,2,98,98,2,1,,,4,4,4,98,4,98,1,4,1,2,4,4,3,1,2,,3,1,4,4,4,2,0.8
332,4,3,2,"NEW HAMPSHIRE",1,2,,,,,,,,,,,,,,,"RESEARCH",5,1,1,1,1,1,4,4,4,6,,4,4,2,1,1,1,5,5,2,2,5,2,0.36
333,3,27,4,"NEW HAMPSHIRE",1,1,2,3,2,2,"TOO MANY SPACE FLIGHTS GOING UP",8,2,2,2,2,4,3,2,2,,,3,3,3,3,3,4,4,4,1,3,4,3,3,1,2,,2,2,1,3,3,1,1.555
334,4,1,4,"NEW HAMPSHIRE",1,1,1,1,1,1,"WEATHER IS CHANGING",3,1,2,1,2,98,2,1,3,,,4,4,4,3,98,3,3,3,6,,3,4,3,1,98,,2,1,4,4,2,2,0.76
335,3,20,4,"NEW HAMPSHIRE",1,1,2,1,1,1,"RESPONSE OF FLORS AND FAUNA TO THE ENVIRONMENTAL SITUATION",14,1,3,1,2,2,4,1,2,,,4,4,4,4,4,2,1,1,1,1,2,3,1,1,1,2,4,2,1,1,5,1,0.335
336,3,18,3,"NEW HAMPSHIRE",1,2,,,,,,,,,,,,,,,"TEMPERATURE",1,2,2,2,1,1,4,4,4,6,,98,4,1,1,2,,3,1,2,2,4,2,0.79
337,3,30,3,"SOUTH DAKOTA",3,1,1,3,98,1,"WEATHER PATTERN OR EXTREME WEATHER EVENTS",3,1,4,1,1,1,1,1,1,,,4,4,4,3,4,1,1,1,1,1,4,3,1,10,6,,3,5,1,5,4,2,0.8
338,3,22,1,"KENTUCKY",2,1,2,1,1,1,"LA NINA FACTOR",3,1,3,1,2,1,2,2,3,,,4,4,4,4,4,98,2,2,1,3,4,4,1,1,1,2,3,5,1,5,2,1,1.895
339,3,28,3,"KENTUCKY",2,2,,,,,,,,,,,,,,,"NO CHANGE IN WEATHER",1,2,2,2,2,2,3,3,3,2,3,3,3,2,1,1,2,4,1,2,3,4,2,0.44
340,4,1,2,"KENTUCKY",2,2,,,,,,,,,,,,,,,"WEATHER IS STAYING ABOUT SAME",1,2,2,2,2,2,3,4,4,1,3,3,4,3,1,6,,3,1,1,2,6,1,1.865
341,3,24,3,"NEW YORK",1,1,1,1,1,1,"NEWS REPORTS",6,1,2,2,2,2,3,2,2,,,4,4,4,4,4,1,1,1,1,1,4,3,3,1,6,,5,5,3,4,3,2,0.93
342,3,22,4,"NEW YORK",1,98,,,,,,,,,,,,,,,,,1,1,2,1,1,4,4,4,6,,1,3,3,1,1,2,3,1,2,1,2,1,0.735
343,4,5,3,"NEW YORK",1,1,1,2,1,1,"OBSERVING",2,3,1,2,3,98,3,1,1,,,3,2,2,98,2,3,3,3,4,1,3,3,3,1,3,,5,1,2,3,,2,0.36
344,3,18,4,"NEW YORK",1,1,2,3,2,1,"THE WEATHER",3,2,3,4,2,98,2,1,2,,,3,3,2,3,3,3,4,3,6,,3,4,3,1,2,,4,1,4,3,4,2,0.09
345,3,28,3,"WISCONSIN",3,2,,,,,,,,,,,,,,,"NOT EXPERIENCING THE WARMTH",1,2,1,2,2,2,4,4,4,3,3,4,4,2,1,1,2,2,1,2,1,,1,1.355
346,3,23,2,"WISCONSIN",3,1,2,2,4,1,"HISTORY OF THE EARTH",9,2,2,2,3,3,4,98,3,,,4,2,2,1,1,4,4,4,6,,98,4,3,1,6,,4,3,3,3,6,1,0.715
347,3,30,4,"WISCONCIN",3,2,,,,,,,,,,,,,,,"COLDER WINTER",1,2,98,2,2,2,4,4,4,98,,4,4,2,10,2,,2,1,4,3,,1,1.025
348,3,24,3,"NEW JERSEY",1,1,2,2,2,1,"TEMPERATURE CHANGES",2,4,1,4,2,4,2,98,98,,,3,2,3,2,2,3,3,3,2,3,4,4,2,1,2,,3,1,,,6,1,1.065
349,3,29,2,"NEW JERSEY",1,1,2,2,2,2,"NEWS",6,2,2,2,3,2,3,4,2,,,4,2,3,2,2,4,4,4,6,,1,4,1,1,1,2,4,5,2,1,5,1,1.495
350,3,22,5,"NEW JERSEY",1,1,1,1,1,1,"CLIMATE",2,1,1,4,1,2,1,1,1,,,3,3,4,4,2,2,2,2,1,1,4,3,1,1,7,,4,2,4,5,3,2,0.98
351,3,22,4,"PENNSYLVANIA",1,1,1,3,1,98,"WARMER SUMMERS",2,4,1,2,3,3,4,2,2,,,4,4,4,4,3,4,4,4,1,3,4,4,2,1,1,98,1,1,1,5,2,2,1.01
352,4,3,3,"PENNSYLVANIA",1,1,1,1,2,1,"MELTING",1,1,2,1,3,3,3,2,2,,,4,3,4,3,3,2,2,2,1,1,1,2,1,2,1,2,5,98,1,3,6,1,1.275
353,3,28,2,"PENNSYLVANIA",1,1,1,3,2,1,"NEWS REPORTS",6,1,2,1,2,2,2,2,2,,,4,4,4,4,4,2,2,2,1,1,2,3,3,1,1,2,5,1,1,3,5,2,0.36
354,3,28,4,"PENNSYLVANIA",1,1,1,1,1,1,"WHATS HAPPENING IN THE ARCTIC AND ANTARCTIC",1,1,2,1,1,1,4,1,1,,,4,4,4,4,4,1,4,98,1,1,4,3,98,1,2,,3,2,1,2,2,2,0.46
355,3,31,2,"PENNSYLVANIA",1,1,2,1,2,1,"CRAZY WEATHER",3,1,3,2,1,3,2,2,3,,,2,3,4,2,2,2,4,3,1,1,3,3,3,1,1,2,3,4,2,3,4,1,1.075
356,3,31,2,"PENNSYLVANIA",1,2,,,,,,,,,,,,,,,"COLDER WINTERS",1,1,1,2,3,1,2,3,3,1,3,1,3,1,1,1,1,3,2,1,4,6,2,0.79
357,4,4,4,"PENNSYLVANIA",1,2,,,,,,,,,,,,,,,"WE ARE IN A NATURAL WARMING CYCLE",2,2,3,3,1,2,4,4,3,4,3,1,3,1,1,2,,5,1,2,1,,1,0.285
358,3,27,3,"PENNSYLVANIA",1,2,,,,,,,,,,,,,,,"THE LAST 2 YEARS WERE BRUTALLY COLD",1,1,98,3,98,1,3,3,3,3,3,2,4,2,1,6,,5,1,1,2,4,2,0.39
359,3,30,3,"PENNSYLVANIA",1,2,,,,,,,,,,,,,,,"WE JUST HAD THE COLDEST WINTER YET",1,1,2,3,1,2,4,4,4,6,,3,4,3,2,1,1,2,1,1,3,2,2,1.74
360,4,1,2,"PENNSYLVANIA",1,1,2,1,2,1,"REPORTS AND ARTICLES",4,2,2,2,3,3,2,2,3,,,3,3,4,3,4,4,4,3,6,,3,3,3,1,1,2,5,5,2,3,6,2,0.38
361,3,21,3,"PENNSYLVANIA",1,2,,,,,,,,,,,,,,,"NO PROOF",3,3,3,4,3,2,3,3,3,6,,4,4,3,1,2,,4,5,2,2,,2,0.43
362,3,20,3,"OHIO",3,1,2,98,1,1,"WEATHER PATTERNS ARE CHANGING",3,1,1,2,1,1,2,2,1,,,4,4,4,2,2,2,2,2,1,1,2,4,2,1,2,,4,5,1,4,6,2,0.43
363,3,23,3,"OHIO",3,2,,,,,,,,,,,,,,,"SPACE EXPLORATION CAUSING IT",9,1,1,3,3,1,4,4,4,1,3,4,2,3,2,2,,5,1,1,2,,1,1.265
364,3,29,2,"OHIO",3,1,1,2,2,1,"DATA",4,1,1,1,1,1,2,2,1,,,4,1,4,1,1,3,1,1,1,1,1,4,2,1,2,,1,1,2,1,2,2,1.37
365,3,25,2,"OHIO",3,2,,,,,,,,,,,,,,,"EARTHS NATURAL PATTERNS",2,2,2,2,1,1,4,4,4,3,2,4,4,1,1,1,2,2,1,2,2,3,2,2.44
366,4,1,3,"OHIO",3,2,,,,,,,,,,,,,,,"MORE SNOW",1,3,3,98,98,3,4,4,4,3,98,4,4,2,1,6,,2,1,2,1,98,2,1.07
367,3,23,2,"OHIO",3,98,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,4,1,2,4,4,3,1,2,,5,1,1,3,5,2,0.36
368,3,23,2,"TENNESSEE",2,1,1,2,3,2,"TELEVISION",6,1,4,98,98,98,4,4,98,,,4,4,1,1,1,4,4,4,6,,1,4,3,1,1,1,3,5,1,2,2,2,0.82
369,3,27,3,"TENNESSEE",2,2,,,,,,,,,,,,,,,"HISTORY",2,1,2,2,2,1,4,4,4,6,,1,3,2,1,1,1,2,1,4,1,2,1,1.385
370,4,3,4,"MICHIGAN",3,1,1,1,1,1,"MAN HAS RUINED THE EARTH",8,1,3,4,3,4,3,1,3,,,4,4,4,4,4,2,4,4,2,3,4,4,2,1,1,1,1,1,1,3,1,2,1
371,3,24,2,"MICHIGAN",3,2,,,,,,,,,,,,,,,"IT IS COLD",1,1,1,1,2,1,4,4,4,6,,4,4,3,1,1,2,5,5,2,1,,2,0.37
372,4,1,3,"MASSACHUSETTS",1,1,4,1,3,2,"CARS",8,3,2,2,2,1,1,2,1,,,2,2,3,2,1,4,2,4,1,2,3,3,3,10,2,,2,5,1,4,5,1,1.335
373,3,24,2,"MASSACHUSETTS",1,1,1,1,1,1,"HOTTER IN THE SUMMER AND NOT AS MUCH SNOW IN WINTER",2,1,1,1,2,3,1,1,1,,,4,3,4,4,3,4,2,4,1,2,4,3,3,1,1,1,4,1,1,1,3,2,0.99
374,4,1,3,"MASSACHUSETTS",1,1,1,3,1,1,"MELTING POLAR ICE",1,1,2,2,1,2,2,1,1,,,4,4,4,2,4,2,2,2,1,1,2,4,3,1,2,,5,2,4,4,4,2,0.38
375,3,18,4,"ILLINOIS",3,1,2,3,2,1,"HOTTER SUMMERS, NOT SO COLD WINTERS",2,2,1,4,2,4,2,4,2,,,3,3,2,98,3,4,4,4,6,,1,4,2,1,1,98,3,2,4,1,2,1,0.735
376,4,1,3,"ILLINOIS",3,2,,,,,,,,,,,,,,,"COLD SPELLS",1,1,1,2,1,1,98,4,4,1,3,3,4,2,1,1,1,3,1,4,1,5,2,0.76
377,3,30,3,"ILLINOIS",3,2,,,,,,,,,,,,,,,"NATURAL EARTH CYCLE",2,2,2,98,1,2,98,4,4,3,1,4,4,3,1,2,,3,1,2,2,,2,0.78
378,3,24,3,"ILLINOIS",3,1,2,1,1,1,"READING",6,1,2,1,1,4,4,3,1,,,4,4,4,4,4,4,4,4,1,3,4,3,1,1,1,1,3,1,1,3,,1,1.045
379,3,30,3,"CALIFORNIA",4,98,,,,,,,,,,,,,,,,,98,4,98,2,2,98,2,98,6,,2,3,3,10,3,,5,6,1,4,,2,0.39
380,3,25,3,"KANSAS",3,2,,,,,,,,,,,,,,,"NO STRONG SCIENTIFIC  EVIDENCE",3,1,1,2,1,1,4,4,4,1,3,2,3,3,1,1,1,3,2,2,1,3,2,1.33
381,3,28,3,"KANSAS",3,1,2,2,2,2,"READING",6,3,3,4,2,4,4,4,2,,,3,2,3,3,2,4,4,4,5,3,98,4,2,1,1,1,3,1,2,2,3,2,1.33
382,3,23,3,"ARIZONA",4,98,,,,,,,,,,,,,,,,,1,1,2,1,1,4,4,3,6,,2,3,1,1,1,1,3,1,2,2,5,2,0.76
383,4,1,1,"CALIFORNIA",4,1,2,3,2,2,"POLAR ICE CAPS",1,2,2,4,3,4,4,2,2,,,98,2,3,2,3,98,98,98,1,1,98,3,3,5,6,,2,1,4,4,2,1,2.725
384,4,1,4,"PENNSYLVANIA",1,1,3,98,2,1,"READING",6,1,4,2,4,1,4,2,4,,,1,4,4,2,4,1,1,2,1,1,4,4,3,1,6,,5,2,1,5,4,1,0.305
385,3,28,3,"ILLINOIS",3,2,,,,,,,,,,,,,,,"WINTERS ARE COLDER",1,1,1,3,1,1,4,4,4,6,,1,4,3,1,1,1,4,1,2,1,6,1,0.715
386,4,1,4,"ILLINOIS",3,1,2,1,1,1,"FOSSIL FUELS",8,1,4,4,4,4,3,2,2,,,2,3,3,3,3,3,3,3,1,1,1,3,3,1,1,98,3,1,1,3,,1,0.695
387,3,21,2,"ILLINOIS",3,2,,,,,,,,,,,,,,,"PATTERNS",2,2,1,3,2,1,4,4,4,6,,2,4,2,,98,,5,5,4,2,,1,0.775
388,3,23,3,"ILLINOIS",3,2,,,,,,,,,,,,,,,"SAME WEATHER",1,2,2,3,2,2,3,3,3,6,,3,98,3,1,,,4,1,4,3,,2,0.43
389,4,4,3,"ILLINOIS",3,1,3,2,2,1,"STATUS OF SITUATION SEEMS TO BE GOING UP",10,2,4,4,2,2,4,98,2,,,2,2,3,2,2,4,4,4,2,1,1,4,3,1,6,,2,1,1,3,3,1,1.905
390,4,4,4,"NEW YORK",1,1,1,3,1,1,"LIVE BY THE SHORE",11,2,4,98,4,4,4,4,4,,,2,4,4,2,4,4,4,4,6,,4,4,2,10,2,,4,1,4,5,1,1,0.375
391,3,22,3,"NEW YORK",1,1,2,1,1,1,"RESEARCH",4,1,2,2,1,2,2,1,1,,,4,3,4,4,3,2,2,2,1,1,2,2,2,1,7,,5,1,1,3,,1,0.635
392,3,20,3,"NEW YORK",1,1,1,1,1,1,"DATA",4,1,2,1,2,2,3,1,1,,,4,4,4,4,4,2,2,2,1,3,2,3,1,1,1,2,4,2,4,4,6,2,0.43
