fact,MC,round
Scott was known and criticized for the expenses incurred during his fact-finding trips abroad.,William L. Scott,retired-dead
Anderson faced backlash from voters when he arranged to have himself appointed to the U.S. Senate vacated by Walter Mondale by resigning the governorship. He was not reelected to the Senate.,Wendell Anderson,retired-dead
"Some New Hampshire voters were uncomfortable with Smith's passionate way of expressing his views on certain issues. In one case, he used a pair of scissors to stab a plastic doll on the Senate floor to illustrate his anti-abortion stance.",Robert C. Smith,retired-dead
"According to the Almanac of American Politics, Brock's 'victory could be credited almost entirely to his sophisticated attempts to play on Tennessean's racial fears and animosities.'",Bill Brock,retired-dead
This 'self-appointment' was later criticized.,Donald S. Russell,retired-dead
"Danforth says he's 'ashamed' at how far he went to discredit Anita Hill, including peddling a theory that Hill suffered from erotomania.",John Danforth,retired-dead
Critics blamed him for national deficits under Reagan,William V. Roth Jr.,retired-dead
Frahm is an Honorary Chair of Women for Kansas.,Sheila Frahm,retired-dead
"Upon his death, the New York Times called Pell 'the most formidable politician in Rhode Island history.'",Claiborne Pell,retired-dead
Brewster was instrumental in the passage of the monumental Civil Rights Act of 1964,Daniel Brewster,retired-dead
Cook's repeated pleas that Wendell Ford debate him in the race for Senator was seen as highly untraditional.,Marlow Cook,retired-dead
"In 2014, Thompson released a new film, Persecuted, on religious freedom, government surveillance and censorship.",Fred Thompson,retired-dead
"When the sexual harrasment allegations came to light, Packwood fled to the Hazelden Foundation clinic for alcoholism in Minnesota, claiming that his drinking led to the harassments.",Bob Packwood,retired-dead
A book published by an ex-aide to Senate Majority Leader Howard Baker claimed that Symms was once drunk during a debate on the Senate floor.,Steve Symms,retired-dead
The New York Times noted that 'he was the key figure in orchestrating a compromise on financing for the National Endowment for the Arts.',Wyche Fowler,retired-dead
"Because of his efforts against the apartheid government in South Africa, his opponent, Roger Jepsen, branded him as 'the Senator from Africa'",Dick Clark,retired-dead
Huffington Post writer James Zogby praised Abourezk as a 'bold and coureagous former Senator' for protesting to the FBI after the ABSCAM operation and calling all Arab-Americans to 'reclaim the right to defend and define their heritage.',James Abourezk,retired-dead
Humphrey was praised for his vocalness as a Senator.,Gordon J. Humphrey,retired-dead
"After his bribery conviction, Williams was charged a $50,000 fine (in addition to prison time.)",Harrison A. Williams,retired-dead
"Stone was once a paid lobbyist for the conservative Guatemalan government of Fernando Romeo Lucas Garcia. This made Democrats argue that he was ill-suited to be President Reagan's appointee to be Ambassador at Large for Central America, a role that required negotion with the leftist government of El Salvador and other administrations.",Richard Stone,retired-dead
"According to the New York Times, Wallop obtained influence in Washington disproportionate to the size of the state he represented.",Malcolm Wallop,retired-dead
Breaux was the principal architect of the $400 billion Medicare Prescription Drug Modernization Act.,John Breaux,retired-dead
"During his tenure as Treasury Secretary, the New York Times wrote that Brady was 'bland on television and awkward as a public speaker.'",Nicholas F. Brady,retired-dead
"Hughes participated in a Bible study with Charles Colson, a Nixon official who had pled guilty to a charge of obstruction of justice for attempting to defame Dr. Daniel Ellsberg, the defendant in the Pentagon Papers affair",Harold Hughes,retired-dead
He and former Senator Ribicoff were selected by the Senate to co-chair a commission to study the structure and procedures of the Senate.,James B. Pearson,retired-dead
Fellow Republicans praised Murphy's ability to speak at fund raising dinners and consequently backed his bid to become the chairman of the Senate Republican Campaign Committee,George Murphy,retired-dead
"During his Senate career, Goldwater was regarded as the 'Grand Old Man of the Republican Party and one of the nation's most respected exponents of conservatism.'",Barry Goldwater Sr.,retired-dead
"During the investigation of bribery allegations around Robert Baker, Curtis supposedly leaked a secret memorandum to advance his own positions.",Carl Curtis,retired-dead
"At his 2009 Congressional Gold Medal Acceptance speech, Brooke scolded policymakers for excessive partisan bickering.",Edward Brooke,retired-dead
"Ron Pollack, executive director of Families USA, praised Daschle on his nomination to Secretary of Health and Human Services for his 'deep commitment to securing high-quality, affordable health care for everyone in our nation.'",Tom Daschle,retired-dead
"In a 1982 interview with the Washington Post, Byrd maintained that his earlier resistance to school desegration, including the closure of schools, was justified and helped prevent racial violence.","Harry F. Byrd, Jr.",retired-dead
"Mattingly served a single term in the Senate, and oberservers noted that he did not accomplish any lasting or landmark legislation during that time.",Mack Mattingly,retired-dead
"Before leaving Washington, Faircloth had an unpaid bill of $250,000 in campaign dues",Lauch Faircloth,retired-dead
Frist received enormous praise from former First Lady Nancy Reagan for supporting expanded federal financing for stem cell research.,Bill Frist,retired-dead
"According to the New York Times, D'Amato was quite popular among his peers on Capitol Hill.",Al D'Amato,retired-dead
"Fulbright hired James McDougal as a local staffer. While working for Fulbright, McDougal met President Bill Clinton and the two of them began investing, in what ultimately ended in the Whitewater investigation.",J. William Fulbright,retired-dead
"The Senate ethics committee investigated accusations that his former chief of staff inflated bonuses to an aide in 2002 so he could return the money to the chief of staff. In subsequent interviews, the chief of staff and aide both asserted that Campbell had approved of the deal.",Ben Nighthorse Campbell,retired-dead
"After Stevens' sudden death in a plane crash, President Barack Obama said in a statement, 'Ted Stevens devoted his career to serving the people of Alaska and fighting for our men and women in uniform.'",Ted Stevens,retired-dead
"In 2005, Mack called himself an 'opponent of drilling,' but in 2012 said he had 'always' been in support of drilling.",Connie Mack III,retired-dead
"In an obituary, President Clinton said that, 'He embodied the decent center. For him, civility was not simply a matter of personal manners. He believed it was essential to the preservation of our democratic system.'",John Chafee,retired-dead
He was ranked second in his class at John Marshall School of Law and quickly became known as one of Cleveland's better trial lawyers.,Frank Lausche,retired-dead
"NASA critisized Bryan for his implacable oppostion to its SETI (Search for Extraterrestrial Intelligence) program, especially because the Senator ignored meeting requests from NASA staff.",Richard Bryan,retired-dead
Inouye ran for Senate majority leader several times without success,Daniel Inouye,retired-dead
Mitchell was known as a reformer while in Congress and helped expose the scandal surrounding the sale of World War II surplus property.,Hugh Mitchell,retired-dead
"According to the Washington Post, Bumpers is a 'Senate veteran who is liked and respected by senators of both parties'",Dale Bumpers,retired-dead
"In September 2014, Nunn was awarded the Lone Sailor award by the U.S. Navy Veterans Memorial.",Sam Nunn,retired-dead
Fitzgerald's resignation from the Republican Senatorial Trust raised eyebrows because many questioned his allegiance to the party,Peter G. Fitzgerald,retired-dead
"The largest factors were concern about possible conflicts of interest and Tower's personal life, in particular allegations of alcohol abuse and womanizing",John Tower,retired-dead
"In May 2012, New York-Presbyterian Hospital, Columbia University Medical Center and Weill Cornell Medical College presented Specter with the annual Public Service Award for his work in expanding mental health care.",Arlen Specter,retired-dead
Mr. Long's success in maneuvering Kennedy's major tax reduction bill forward in early 1964 cemented his reputation as a rising leader.,Russell B. Long,retired-dead
"As mayor of the city of Anaheim, Seymour was instrumental in recruiting the Los Angeles Rams football team to move to Anaheim Stadium.",John F. Seymour,retired-dead
"In 2009, St. John's University honored McCarthy by establishing the Eugene McCarthy Distinguished Public Service Award.",Eugene McCarthy,retired-dead
"Wofford served as a trustee to the Martin Luther King, Jr. Center for Non-Violent Social Change.",Harris Wofford,retired-dead
Fellow Republican colleagues praised Jepsen for persuading President Reagan to lift the agricultural ban against the Soviet Union,Roger Jepsen,retired-dead
"As Kennedy's White House Press Secretary, Salinger was accused of 'news management.'",Pierre Salinger,retired-dead
"According to the New York Times, Cohen is considered a loner in Congress.",William Cohen,retired-dead
Former President Ronald Reagan praised Quayle for his 'energy and enthusaism',Dan Quayle,retired-dead
Brown's shyness made taking a high profile political role difficult.,Muriel Humphrey Brown,retired-dead
"According to the New York Times, Graham was considered one of the most popular politicians in Florida.",Bob Graham,retired-dead
Dixon was sharply criticized during the campaign by Braun for supporting Clarence Thomas' nomination despite allegations of Thomas sexually harrassing Anita Hill,Alan J. Dixon,retired-dead
Cannon was unseated after Teamsters union officials were accused of offering him a bribe.,Howard Cannon,retired-dead
"According to the sworn testimony of two FBI agents interviewed by the 9/11 Commission, Ashcroft ignored warnings of an imminent al-Qaida attack.",John Ashcroft,retired-dead
Craig's bathroom stall controversy forced him to step down from his position as liaison to the Senate on the Romney campaign,Larry Craig,retired-dead
Cleland was named outstanding senior in high school.,Max Cleland,retired-dead
"During his tenure as Chairman of the Senate Committee on Energy and Natural Resources, he was recognized as the nation's pre-eminent legislator on energy policy.",Bennett Johnston,retired-dead
"After his death, the Washington Post wrote that Smathers' legacy was 'tarnished' by his opposition to civil rights legislation.",George Smathers,retired-dead
"According to the New York Times, Simon was never particularly popular with his Hosue colleagues.",Paul Simon,retired-dead
"As attorney general of Ohio, DeWine sent letters to drugstore chains, encouraging them to discontinue the sale of tobacco products.",Mike DeWine,retired-dead
"Despite his patrician background, Cooper was known for being 'affable, frequently self-deprecating and approachable.'",John S. Cooper,retired-dead
"As Attorney General under Nixon, Saxbe oversaw the antitrust suit that broke the Bell System telephone monopoly.",William B. Saxbe,retired-dead
"After his death, President Obama praised Rudman as an early advocate for fiscal responsibility.",Warren Rudman,retired-dead
Murphy's appointment to the Senate was viewed as an insult to the widow of the deceased Senator. Many political observers expected that Mrs. Dolores Bridges would be appointed to her husband's seat.,Maurice J. Murphy Jr.,retired-dead
Colleagues of Sarbanes said that the reason for his retirement from the Senate was due to his annoyance with not having any leadership roles on committees,Paul Sarbanes,retired-dead
Simpson is often criticized for his hefty speaking fees and expensive lifestyle,Alan K. Simpson,retired-dead
Hatfield received a rebuke from the Senate after the Ethics Committee investigated two gifts that he had received in the form of forgiven loans from a former congressman and a California businessman.,Mark Hatfield,retired-dead
Hathaway lost the 1978 Maine Senatorial electoin to opponent William Cohen by 22 percentage points.,William Hathaway,retired-dead
Senator Robert C. Byrd criticized McClure's conservative Steering Committee as 'shadowy' and 'mysterious.',James A. McClure,retired-dead
President Clinton described Gore as a public service role model ''who helped connect the South with the rest of America.'',Albert Gore Sr.,retired-dead
Bradley was critisized for neglecting constituent services while in office.,Bill Bradley,retired-dead
The New York Times called Buckley's 1968 Senatorial campaign 'lonely and unsuccessful.',James L. Buckley,retired-dead
"In response to the scandal involving Edwards' extramarital affair and attempts to cover it up, he stated 'I am a sinner, but not a criminal'",John Edwards,retired-dead
"In 1976, the Senate undertook an ethics inquiry into accusations that he had received payment from lobbyists for the Gulf Oil Corporation. He acknowledged having received $45,000, but claimed these were legal campaign contributions.",Hugh Scott,retired-dead
Mondale faced difficulties in the 1984 Presidential election because he 'lacked charisma' in comparison to rivals like Senator Gary Hart or the Reverend Jesse Jackson.,Walter Mondale,retired-dead
"As part of a statement released by his office in support of a day to honor emergency first responders in 2007, Allard was quoted as saying: 'First responders in Colorado have recently provided critical services in the face of blizzards and tornados. Since I don't think first responders have really done anything significant in comparison to their counterparts who have dealt with real natural disasters, I have no idea what else to say here'",Wayne Allard,retired-dead
"In 1990, while complaining that his opponent was receiving funding from Japanese auto dealers, he referred to them as 'Japs,' an ethnic slur.",John A. Durkin,retired-dead
"During the 1950's, Ball came to the public defense of several people whom Senator Joseph R. McCarthy accused of having Communist leanings",Joseph H. Ball,retired-dead
"Byrd became a local celebrity after a radio station in Beckley, WV began broadcasting his 'fiery fundamentalist lessons.'",Robert Byrd,retired-dead
Senator Miller was a member of the Senate Finance Committee.,Jack Miller,retired-dead
Bob Dole described Trible's retirement from the Senate as 'a real loss for the Senate and for the people of Virginia.'',"Paul S. Trible, Jr.",retired-dead
The Argus Leader praised him for 'taking positions based upon his true beliefs',Larry Pressler,retired-dead
His Institute of Finance has been called a 'hot tub of influence peddling.',Jake Garn,retired-dead
"In 1993, Krueger's unconventional political ads were seen as the act as 'desperate' and 'pathetic' attempts at holding on to his position.",Bob Krueger,retired-dead
Max Baucus praised his former primary opponent for being 'one of the most decent and thoughtful people I've had the privilege of knowing.',Paul G. Hatfield,retired-dead
Talmadge was known for requiring his staff to respond to every constituent letter within 24 hours of receipt.,Herman Talmadge,retired-dead
"In 1956, Clark became the first politician to receive the Philadelphia Award for promoting good governance in the city.",Joseph S. Clark Jr.,retired-dead
"Preservation Massachussetts, a statewide nonprofit focused on preserving Massachussetts history, has an annual Paul Tsongas award to honor restoration workers in the state.",Paul Tsongas,retired-dead
"According to fellow Democrats, he committed the 'heinous crime of political ingratitude' and became a 'party pariah.'",Berkeley L. Bunker,retired-dead
The New York Times characterized him as the 'conscience of the Senate.',Howell Heflin,retired-dead
The Justice Department won guilty pleas from six donors who had made illegal contributions to Torricelli's 1996 Senate campaign,Robert Torricelli,retired-dead
Mitch McConnell accused him of putting 'his private speaking engagements ahead of his Senate responsibilities',Walter Huddleston,retired-dead
Senator Hutchinson honored the Little Rock Nine in the award ceremony for their Congressional Medals of Honor.,Tim Hutchinson,retired-dead
"While governor of Oklahoma, Bellmon was praised for his bipartisanship in nominating several Democrats to his cabinet.",Henry Bellmon,retired-dead
