"Respnum","sample","Month","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_problem","gw_concern","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_ipcc","believer_factor_unipcc","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","gw_noevidence","gw_scioverstate","gw_nattrend","gw_mediaoverstate","fed_industrial","gw_sciencelimitimpact","gw_geoengrharm","gw_geoengr","gw_adapt","gw_adapteasy","govt_fed","govt_state","govt_local","gastax_support_v2","gastax_support_fee","captrade_support_limit","captrade_support_cap","electrictax_support_v2","electrictax_support_v3","captrade_support_v1","captrade_rev4renewbls","captrade_rev4debt","carbontax_support","carbontax_rev4renewbls","carbontax_rev4debt_v1","carbontax_rev4inctax","carbontax_revfed_v1","carbontax_revstate","willing2pay_list","intl_support_v1","intl_support_cost","intl_support_china_v1","demog_persfinance","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","Weight"
180,"B",12,6,2,"MO",3,1,1,1,1,1,"TEMPERATURE CHARTS",4,1,2,1,1,,1,2,1,2,1,,,,,,,4,4,3,4,4,3,2,3,4,3,1,1,1,,1,,98,,1,98,2,98,1,1,,98,,5,6,1,1,1,2,1,6,,5,4,1,4,4,2,0.89
181,"A",12,6,4,"MA",1,1,2,1,1,1,"CHANGE IN CLIMATE",2,1,2,2,2,2,,1,1,1,1,,,,,,,4,98,4,98,4,3,2,98,3,3,2,2,2,1,,1,,1,,1,1,1,1,1,1,,1,,5,1,1,1,1,1,6,,5,2,2,2,4,2,0.36
182,"B",12,6,3,"SC",2,1,1,1,1,1,"MAN CANNOT LEAVE WELL ENOUGH ALONE",8,2,2,2,2,,3,2,2,2,2,,,,,,,3,4,4,4,2,3,2,98,2,3,1,1,1,,2,,1,,2,2,1,2,3,2,,3,,6,2,2,3,3,3,1,6,,1,1,,,1,2,1.48
183,"B",12,6,3,"TX",2,1,2,1,1,1,"VERY VERY HOT SUMMER",2,1,1,3,2,,4,3,1,1,3,,,,,,,3,3,3,3,4,4,2,4,4,4,1,1,1,,2,,1,,1,1,1,1,3,3,,2,,1,4,1,3,3,2,1,2,,4,1,1,4,3,1,0.26
184,"B",12,6,2,"TX",2,1,2,3,2,2,"CHANGING WINTERS",3,3,2,2,2,,2,3,3,2,2,,,,,,,3,3,2,2,3,2,3,3,2,2,2,2,2,,2,,2,,2,2,2,2,3,3,,3,,3,1,2,2,2,2,1,2,,3,2,1,3,,2,1.31
185,"B",12,6,2,"AZ",4,1,2,2,3,3,"MELTING GLACIERS",1,1,3,2,3,,2,3,1,2,2,,,,,,,3,3,2,2,2,2,2,2,2,2,1,1,1,,2,,1,,1,3,3,4,4,3,,3,,98,2,2,4,4,2,1,1,2,2,1,2,2,3,2,1.43
186,"A",12,6,3,"CT",1,1,1,1,2,2,"WEATHER",3,1,2,98,1,98,,2,1,1,1,,,,,,,4,4,4,4,1,3,3,4,4,4,1,1,1,2,,98,,1,,98,3,4,98,4,4,,1,,3,1,1,2,3,1,2,,4,3,,2,2,2,0.36
187,"B",12,6,3,"CA",4,98,,,,,,,,,,,,,,,,,,,,,,,3,4,98,3,4,3,2,2,98,3,2,2,1,,98,,1,,98,2,2,3,2,2,,2,,1,3,2,2,2,,1,6,,4,5,,5,,2,0.36
188,"B",12,6,3,"AL",2,1,1,2,2,1,"CLIMATE HAS CHANGED",2,2,2,3,2,,3,1,2,2,1,,,,,,,1,3,3,2,2,98,1,3,4,4,2,2,2,,2,,2,,2,4,2,4,4,4,,4,,1,2,1,4,4,2,2,2,,3,1,1,98,2,2,1.12
189,"B",12,6,3,"NY",1,1,1,2,2,2,"MILD WEATHER AND NATURAL DISASTERS",3,1,2,2,1,,1,2,1,2,1,,,,,,,4,3,1,1,3,3,2,4,4,4,1,1,2,,1,,1,,1,2,2,2,2,1,,2,,2,4,1,1,3,1,1,1,1,2,2,,,,1,0.75
190,"B",12,6,3,"PA",1,1,2,1,1,2,"WEATHER",3,2,3,2,2,,4,3,2,3,2,,,,,,,2,3,4,3,4,3,98,3,4,3,1,1,2,,2,,1,,98,1,1,2,3,2,,2,,6,4,1,2,4,3,1,2,,3,5,4,3,4,2,0.73
191,"B",12,6,4,"FL",2,98,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,4,4,2,98,1,3,3,2,2,,2,,2,,2,4,4,4,4,3,,3,,6,1,3,4,4,2,1,2,,3,1,2,1,1,1,0.68
192,"A",12,6,3,"FL",2,1,2,2,3,3,"DATA",4,2,3,2,3,4,,4,4,4,4,,,,,,,3,1,2,1,4,4,1,98,3,3,1,1,1,2,,98,,2,,4,4,1,2,1,1,,2,,3,1,2,4,3,1,2,,4,1,4,3,6,1,0.26
193,"A",12,6,3,"GA",2,1,2,1,2,2,"NEWS REPORTS",6,2,2,2,2,2,,2,2,2,2,,,,,,,3,3,3,3,3,2,2,2,3,3,2,2,2,2,,1,,2,,98,2,4,3,4,4,,1,,1,3,4,4,2,2,4,,2,1,4,98,1,2,1.24
194,"A",12,6,4,"FL",2,1,1,3,1,1,"WEATHER IS CHANGING ALL OVER THE WORLD",3,1,1,1,1,1,,1,1,1,1,,,,,,,4,4,4,4,4,98,98,98,4,4,1,98,98,2,,1,,1,,1,1,98,1,1,1,,5,,4,98,1,98,2,1,2,,4,4,1,3,,1,0.31
195,"A",12,6,3,"IL",3,98,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,3,2,3,3,3,3,3,3,2,,2,,2,,3,3,3,3,3,3,,6,,1,3,3,3,3,1,3,,2,1,4,3,,1,0.75
196,"A",12,6,3,"ME",1,1,1,1,1,1,"DIFFERENT SCIENTIFIC STUDIES THAT HAVE BEEN DONE",4,1,1,1,98,1,,1,1,1,1,,,,,,,4,4,4,4,4,4,98,4,4,4,1,1,1,1,,1,,1,,1,1,98,1,1,3,,1,,6,1,1,1,1,9,6,,5,3,1,5,6,2,2.86
197,"A",12,6,4,"WV",2,1,2,2,4,3,"NOT SURE",10,4,2,4,3,4,,2,3,2,2,,,,,,,2,2,1,1,2,98,2,2,2,3,2,2,2,2,,98,,2,,1,4,2,4,2,4,,1,,1,98,4,2,2,1,1,2,2,1,2,98,2,2,0.9
198,"A",12,6,3,"ME",1,2,,,,,,,,,,,,,,,,,1,"AL GORE IS A JERK",7,2,2,2,1,1,1,1,1,2,1,2,3,3,3,3,3,2,,2,,2,,4,4,4,4,4,4,,6,,1,4,4,4,3,1,2,,2,1,2,2,2,1,0.75
199,"B",12,6,1,"MN",3,98,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,4,4,1,4,4,4,3,3,3,,2,,2,,2,4,4,4,4,4,,4,,1,1,2,3,4,2,2,4,,2,1,98,,2,1,2.37
200,"A",12,6,2,"CA",4,1,3,1,2,3,"EVIDENCE",4,3,3,3,3,4,,3,3,2,3,,,,,,,2,2,4,2,2,2,2,2,3,3,1,1,1,2,,2,,2,,3,3,3,3,3,3,,98,,1,3,3,3,2,1,1,2,2,1,1,3,4,2,1.43
201,"A",12,6,3,"NY",1,1,1,3,2,2,"POLAR ICE CAPS MELTING",1,1,2,2,2,2,,4,98,2,2,,,,,,,4,4,4,4,98,4,98,98,4,4,2,2,2,2,,1,,2,,1,1,4,4,2,4,,1,,2,1,3,3,1,1,6,,3,1,1,2,,2,0.73
202,"B",12,6,4,"OH",3,2,,,,,,,,,,,,,,,,,2,"EARTH GOES IN CYCLES",2,1,4,4,1,98,2,2,4,4,1,4,4,4,2,2,2,,2,,1,,2,4,4,4,4,4,,4,,6,1,4,4,4,3,1,1,2,2,1,1,3,2,2,0.9
203,"B",12,6,1,"NY",1,98,,,,,,,,,,,,,,,,,,,,,,,4,4,98,1,4,1,1,4,2,4,1,2,2,,2,,1,,1,1,1,1,1,1,,1,,4,2,1,1,1,1,2,2,,4,1,1,4,,1,1.88
204,"A",12,6,4,"GA",2,1,1,98,3,3,"FUELS",8,98,3,4,4,4,,2,1,4,2,,,,,,,1,1,4,3,98,4,1,4,1,4,98,98,98,2,,2,,2,,3,98,98,98,98,98,,4,,1,1,4,4,2,1,6,,1,1,1,3,1,1,1.43
205,"B",12,6,1,"AR",2,1,2,1,1,1,"READING",6,1,3,2,2,,2,3,3,3,3,,,,,,,3,3,4,3,4,4,4,1,3,4,1,1,1,,1,,2,,1,3,2,2,2,2,,2,,1,2,2,2,2,3,9,6,,4,5,1,3,2,1,4.04
206,"B",12,6,3,"VA",2,2,,,,,,,,,,,,,,,,,2,"HAVE NOT SEEN A BIG DIFFERENCE",1,4,2,1,1,2,2,2,1,2,98,98,3,3,3,3,3,,2,,2,,2,4,4,4,4,4,,4,,6,1,4,4,4,3,1,1,2,3,5,,,3,2,0.73
207,"B",12,6,3,"PA",1,98,,,,,,,,,,,,,,,,,,,,,,,98,98,98,98,3,2,98,2,3,3,2,2,2,,98,,98,,2,3,2,2,2,3,,3,,2,3,98,3,3,98,1,1,2,3,1,4,2,98,2,0.73
208,"A",12,6,3,"TX",2,1,1,1,1,1,"GREENHOUSE EFFECT",8,1,1,4,2,4,,1,1,1,2,,,,,,,4,4,2,4,4,4,1,4,4,4,1,1,2,1,,2,,1,,4,1,1,1,1,1,,1,,2,4,4,4,3,1,6,,4,1,4,3,,1,0.26
209,"A",12,6,3,"OR",4,1,1,3,1,2,"RISING OCEAN TEMPERATURES",2,3,4,2,4,1,,1,4,4,4,,,,,,,98,1,1,98,4,2,98,4,2,2,1,2,1,1,,98,,1,,1,1,1,1,1,2,,1,,1,1,3,2,3,1,1,1,5,1,1,4,,1,0.21
210,"B",12,7,1,"PA",1,98,,,,,,,,,,,,,,,,,,,,,,,2,4,3,2,4,2,2,2,4,4,1,1,1,,2,,1,,2,1,1,1,2,2,,2,,1,3,2,3,3,3,5,6,,4,1,4,1,5,2,2.39
211,"A",12,7,3,"WI",3,1,2,3,2,2,"HOLES IN THE OZONE LAYERS",10,2,2,3,3,3,,2,2,2,2,,,,,,,3,3,3,3,3,2,3,98,2,2,1,1,2,1,,1,,1,,1,1,2,1,1,2,,1,,2,2,2,2,2,1,1,2,2,2,1,5,3,1,0.75
212,"A",12,7,3,"CA",4,1,1,1,1,2,"SHIFT IN WEATHER PATTERN",3,2,2,2,1,3,,2,1,2,2,,,,,,,4,2,3,3,4,2,4,2,4,4,1,1,2,2,,1,,2,,1,1,1,2,2,2,,1,,5,2,2,3,3,9,2,,3,1,1,2,6,1,3.18
213,"A",12,7,3,"IL",3,2,,,,,,,,,,,,,,,,,2,"NO EVIDENCE",3,2,3,3,2,2,2,1,98,3,1,4,3,3,2,2,2,2,,2,,1,,4,2,3,3,2,3,,4,,2,2,2,2,2,1,2,,3,1,4,2,5,1,0.63
214,"A",12,7,3,"CA",4,2,,,,,,,,,,,,,,,,,2,"NO EVIDENCE",3,3,3,3,1,3,4,1,2,4,1,3,2,2,3,3,3,2,,2,,2,,4,4,4,4,4,4,,6,,1,4,4,4,3,1,,,4,5,,,,1,0.26
215,"A",12,7,3,"WI",3,2,,,,,,,,,,,,,,,,,2,"NOT ENOUGH SCIENTIFIC EVIDENCE",3,2,2,2,1,2,2,1,2,3,2,3,3,3,3,3,3,2,,2,,2,,4,4,4,4,4,4,,6,,1,4,4,4,2,1,1,2,2,4,2,2,3,1,0.75
216,"A",12,7,2,"VA",2,98,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,98,2,2,2,4,4,2,2,2,2,,98,,2,,2,2,2,4,4,4,,6,,1,2,4,4,2,1,3,,5,1,2,1,3,2,0.89
217,"A",12,7,3,"FL",2,1,1,1,1,1,"ICEBERGS AND ICECAPS ARE MELTING",1,1,3,2,2,2,,2,2,2,2,,,,,,,3,4,4,4,4,2,3,2,2,2,1,1,1,1,,1,,1,,1,1,2,2,1,2,,1,,3,1,1,2,3,1,2,,4,2,1,4,,1,0.26
218,"B",12,7,3,"CA",4,1,1,2,3,3,"TEMPERATURES",2,4,1,4,4,,4,4,4,4,1,,,,,,,4,1,1,2,4,4,4,1,1,2,3,3,3,,2,,2,,2,1,1,1,4,4,,4,,6,1,4,4,4,2,1,2,,3,5,4,3,5,1,0.63
219,"A",12,7,3,"WA",4,2,,,,,,,,,,,,,,,,,2,"NOT ENOUGH SCIENTIFIC FACTS",3,3,2,2,1,2,1,1,1,4,1,4,3,3,3,3,3,2,,2,,2,,4,4,3,4,4,4,,6,,1,4,4,4,2,10,2,,2,1,2,2,2,1,1.3
220,"B",12,7,3,"VA",2,2,,,,,,,,,,,,,,,,,1,"PERSONAL OBSERVATIONS",1,4,4,4,2,2,1,1,2,3,2,3,3,4,2,2,3,,2,,2,,2,4,3,3,4,3,,3,,6,1,4,4,4,1,1,3,,4,4,4,2,6,1,0.26
221,"A",12,7,3,"CT",1,1,2,1,2,2,"ALASKA IS MELTING",1,1,2,3,2,2,,2,1,2,2,,,,,,,4,4,4,3,4,2,3,2,2,2,1,1,1,1,,1,,2,,1,1,2,2,1,2,,1,,2,2,2,2,1,1,1,2,,1,,,,1,0.43
222,"A",12,7,4,"MN",3,1,1,1,1,1,"MAN'S ACTIVITIES",8,1,2,3,2,4,,2,2,1,1,,,,,,,4,4,2,4,4,4,1,4,3,4,1,2,3,2,,2,,2,,4,1,1,2,1,2,,2,,2,4,4,4,2,1,2,,2,1,4,1,,2,0.9
223,"A",12,7,3,"TX",2,1,2,2,3,3,"WARM WEATHER",2,2,1,4,2,3,,3,3,2,1,,,,,,,3,3,1,3,2,2,2,2,2,2,2,2,3,2,,2,,2,,2,2,2,2,2,2,,4,,3,3,3,3,2,1,6,,2,1,98,4,4,1,0.75
224,"B",12,7,3,"IN",3,2,,,,,,,,,,,,,,,,,1,"POLAR CAPS",9,4,4,1,1,1,1,1,1,4,1,4,1,1,3,3,3,,2,,2,,2,4,2,1,4,2,,4,,6,1,4,4,4,2,1,6,,4,6,4,1,6,1,0.26
225,"B",12,7,1,"CA",4,2,,,,,,,,,,,,,,,,,1,"STILL BUILDING CARS EVERY YEAR",9,3,1,1,1,2,3,1,3,3,1,4,3,3,1,1,1,,1,,98,,1,4,4,4,4,4,,4,,6,1,4,4,3,2,1,1,2,4,1,4,3,,1,1.49
226,"A",12,7,4,"TX",2,1,1,1,1,1,"CHANGE IN WEATHER PATTERNS",3,1,1,2,2,3,,3,1,1,1,,,,,,,4,4,4,4,4,3,3,3,4,4,1,1,2,1,,2,,1,,2,2,2,1,1,2,,2,,4,1,1,1,3,1,1,1,3,5,4,4,5,2,0.78
227,"B",12,7,3,"CT",1,1,2,2,2,2,"MELTING GLACIERS",1,1,3,2,3,,2,3,1,2,3,,,,,,,3,3,2,2,3,3,2,2,2,2,2,2,2,,2,,2,,2,3,3,3,3,3,,3,,98,3,3,4,4,3,1,2,,3,5,2,2,2,2,0.73
228,"A",12,7,1,"DE",2,1,2,2,3,3,"WEATHER",3,1,1,3,3,3,,2,1,3,3,,,,,,,98,1,1,1,4,98,1,2,1,1,2,3,2,2,,1,,2,,1,1,1,2,2,3,,6,,2,4,4,4,1,2,3,,5,5,4,3,2,2,1.93
229,"B",12,7,2,"MO",3,2,,,,,,,,,,,,,,,,,2,"STUDIES IN TEMPERATURES",5,2,2,2,3,2,2,1,1,4,2,4,98,3,98,98,98,,2,,98,,2,98,98,2,3,98,,2,,98,98,98,4,98,1,1,1,1,2,1,4,2,4,2,1.43
230,"A",12,7,2,"FL",2,98,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,2,,2,,3,3,3,4,4,4,,6,,3,2,3,3,2,9,2,,5,1,1,3,2,1,3.34
231,"A",12,7,4,"MO",3,2,,,,,,,,,,,,,,,,,2,"WINTERS",1,1,3,4,2,3,2,2,4,98,98,2,98,4,2,2,2,1,,98,,2,,3,2,3,3,4,4,,5,,98,2,98,98,1,1,1,2,4,1,,4,5,2,0.41
232,"A",12,7,3,"NY",1,1,1,1,1,1,"CHARTS",4,1,1,1,1,4,,2,2,1,1,,,,,,,4,4,4,4,4,4,1,4,4,4,1,1,2,1,,2,,98,,4,1,4,1,1,4,,1,,4,1,1,1,2,1,7,,4,5,4,1,3,1,0.26
233,"B",12,7,3,"CT",1,1,1,98,3,3,"MILDER WINTERS",2,3,2,3,2,,3,2,3,2,2,,,,,,,3,3,98,2,3,2,2,2,3,3,1,1,3,,2,,2,,2,3,3,3,3,2,,2,,4,3,2,3,3,2,1,1,2,2,2,,3,,2,0.85
234,"B",12,7,2,"PA",1,1,3,3,2,2,"WEATHER",3,1,3,2,3,,98,3,1,2,3,,,,,,,2,2,2,2,3,2,2,2,3,2,2,2,3,,2,,1,,98,2,1,3,3,3,,3,,1,2,3,4,4,3,1,1,98,5,5,,3,,2,0.89
235,"A",12,7,2,"MI",3,2,,,,,,,,,,,,,,,,,2,"WINTERS ARE AS COLD AS IN THE PAST",1,1,3,4,2,3,2,2,3,3,2,3,3,4,2,2,2,2,,1,,2,,2,2,2,4,4,4,,1,,2,2,4,98,2,1,1,2,4,5,2,1,3,2,0.94
236,"B",12,7,3,"MI",3,1,1,1,1,1,"CLIMATES ARE CHANGING",2,1,1,3,1,,3,1,3,1,1,,,,,,,2,3,3,3,3,4,2,3,3,3,1,1,1,,2,,2,,1,4,3,3,3,3,,3,,3,2,2,3,3,2,2,1,1,3,1,1,5,3,1,1.02
237,"B",12,7,4,"CA",4,98,,,,,,,,,,,,,,,,,,,,,,,2,2,98,2,98,98,98,98,98,98,2,2,2,,98,,98,,98,98,98,98,4,3,,98,,4,1,2,2,2,2,1,1,2,4,1,2,2,2,2,0.41
238,"A",12,7,3,"LA",2,1,1,1,1,1,"NEWS REPORTS",6,1,3,3,1,4,,4,1,3,1,,,,,,,4,4,4,2,4,4,4,4,2,4,3,3,3,2,,2,,2,,4,4,4,4,4,2,,2,,5,4,4,4,1,1,2,,3,5,2,5,5,2,0.73
239,"A",12,7,4,"MA",1,1,2,3,1,2,"WEATHER IS GETTING HOTTER",2,1,1,1,1,98,,1,2,98,1,,,,,,,4,4,1,4,4,1,1,1,4,4,2,2,2,1,,1,,1,,1,1,4,1,1,4,,1,,2,98,1,98,2,1,2,,3,1,1,3,2,1,0.68
240,"A",12,7,2,"GA",2,1,2,1,1,1,"DATA",4,1,2,2,2,98,,3,2,1,1,,,,,,,4,1,3,2,1,2,2,1,2,2,1,1,1,2,,2,,1,,2,1,2,3,1,1,,1,,3,1,3,3,3,5,1,2,5,1,2,3,3,1,1.59
241,"A",12,7,4,"CA",4,1,2,1,2,2,"NUMBER OF HORRIBLE STORMS",3,3,3,3,1,3,,3,3,2,1,,,,,,,3,3,4,3,4,4,1,4,3,3,1,2,2,2,,1,,2,,2,1,2,3,2,3,,1,,3,2,3,3,2,1,1,2,2,1,2,2,3,1,0.8
242,"B",12,7,4,"NM",4,2,,,,,,,,,,,,,,,,,1,"ALWAYS BEEN HOT HERE",1,1,4,4,1,1,1,1,2,98,1,98,4,4,2,2,2,,2,,2,,2,98,2,2,4,4,,4,,4,1,98,4,3,3,9,2,,2,1,4,3,2,1,3.35
243,"A",12,7,4,"IN",3,98,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,4,1,4,4,4,3,3,3,2,,2,,2,,4,4,4,4,4,4,,3,,1,4,4,4,3,1,1,2,5,4,,,,1,0.26
244,"B",12,7,1,"CA",4,1,1,1,2,2,"DOCUMENTARIES",6,1,4,2,2,,1,4,1,3,2,,,,,,,4,4,2,4,3,4,98,2,4,4,1,2,2,,1,,1,,1,98,2,4,4,4,,4,,1,1,3,4,4,3,1,2,,3,5,1,3,3,2,1.96
245,"B",12,7,3,"WI",3,1,2,1,2,2,"POLAR ICE CAPS MELTING",1,1,3,3,2,,2,2,1,2,2,,,,,,,4,4,4,3,4,3,2,3,2,2,1,1,1,,1,,1,,1,1,1,2,1,1,,2,,1,3,1,1,3,3,10,2,,4,5,3,3,,2,0.91
246,"B",12,7,2,"CA",4,2,,,,,,,,,,,,,,,,,1,"EARTH GOES THROUGH PHASES",2,1,4,4,1,1,1,1,3,4,1,4,4,4,3,3,3,,2,,2,,2,4,4,4,4,4,,4,,6,1,4,4,4,3,1,2,,2,2,4,5,2,2,1.43
247,"B",12,7,3,"MN",3,98,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,98,3,2,3,3,3,1,3,3,,2,,2,,2,4,98,3,4,3,,3,,6,1,2,3,3,2,1,6,,3,2,4,2,1,1,0.63
248,"B",12,7,3,"DC",2,1,1,1,1,1,"EVIDENCE",4,1,3,1,3,,2,3,1,4,4,,,,,,,4,4,4,4,98,98,98,98,98,4,1,1,1,,1,,1,,1,1,1,3,1,1,,4,,1,5,1,1,2,3,1,3,,5,4,1,5,4,1,0.21
249,"B",12,7,1,"AR",2,1,1,3,3,4,"READING",6,4,4,4,4,,2,4,4,4,4,,,,,,,4,2,2,1,4,2,98,2,3,3,2,2,2,,2,,98,,2,2,2,2,3,2,,2,,1,2,3,3,3,2,1,1,1,5,1,4,98,2,1,1.44
250,"A",12,7,3,"KS",3,2,,,,,,,,,,,,,,,,,2,"HAVE NOT SEEN ANYTHING",1,2,2,2,1,2,1,1,3,4,1,1,4,4,2,2,3,2,,2,,2,,3,3,3,2,2,2,,2,,5,4,4,4,2,1,6,,3,1,2,1,3,2,0.73
251,"B",12,7,4,"TX",2,2,,,,,,,,,,,,,,,,,4,"JUST A NATURAL EVENT",2,1,2,1,2,2,2,2,1,3,1,4,3,3,3,3,3,,2,,2,,2,4,4,4,4,4,,4,,6,1,4,4,4,2,1,6,,2,1,,,,1,0.8
252,"A",12,7,4,"NY",1,98,,,,,,,,,,,,,,,,,,,,,,,98,98,98,98,98,98,98,98,98,98,2,2,2,2,,2,,2,,98,98,2,3,98,2,,3,,1,98,98,98,2,2,2,,2,2,1,3,,2,1.29
253,"B",12,7,4,"MI",3,1,1,3,1,2,"GENERAL INFORMATION",6,1,1,2,1,,1,1,1,1,1,,,,,,,4,4,3,3,4,2,3,4,2,4,1,1,2,,2,,1,,1,2,1,4,2,2,,3,,1,3,1,1,2,2,1,1,2,4,4,4,4,3,1,0.31
254,"A",12,7,2,"WA",4,1,1,1,1,1,"SANE",10,2,4,2,1,2,,2,1,1,1,,,,,,,4,4,4,4,4,3,98,3,3,3,1,2,2,1,,1,,2,,1,1,1,2,1,2,,1,,4,1,1,1,2,1,1,2,5,6,1,5,4,2,0.89
255,"B",12,7,3,"FL",2,2,,,,,,,,,,,,,,,,,1,"JUST DO NOT BELIEVE IT",8,1,4,4,2,2,1,2,4,4,1,4,4,4,3,3,3,,2,,2,,2,4,4,4,4,4,,4,,6,1,4,4,4,3,1,1,2,2,1,4,4,2,1,0.75
256,"A",12,8,3,"PA",1,98,,,,,,,,,,,,,,,,,,,,,,,2,3,3,1,4,2,2,2,3,3,2,2,2,2,,1,,2,,4,2,2,4,4,4,,4,,2,2,3,4,2,1,1,2,2,1,98,3,2,1,0.75
257,"B",12,8,1,"GA",2,1,2,3,1,2,"HOT",2,2,1,3,1,,4,3,1,1,1,,,,,,,1,4,2,4,4,2,98,4,4,2,2,2,2,,1,,98,,1,1,1,2,1,1,,2,,1,6,1,1,2,2,1,6,,3,5,4,3,2,1,1.86
258,"A",12,8,3,"NY",1,1,1,3,1,2,"OZONE LAYER IS GONE",10,1,4,2,2,3,,4,2,3,2,,,,,,,4,3,3,3,4,2,1,2,3,2,2,2,2,2,,1,,2,,4,4,4,2,2,2,,1,,2,2,2,4,2,1,3,,3,2,98,3,2,1,0.63
259,"B",12,8,2,"CA",4,1,2,2,1,2,"SUN SEEMS SO MUCH HOTTER",2,1,1,3,2,,4,3,1,1,1,,,,,,,3,3,1,3,4,4,2,3,4,4,1,1,1,,2,,1,,2,1,1,1,3,3,,3,,1,3,1,3,98,2,1,1,2,4,1,2,4,3,2,0.94
260,"A",12,8,4,"NE",3,1,3,98,2,2,"WEATHER IS WARMER DURING WINTERTIME",2,2,1,4,98,4,,1,2,2,2,,,,,,,3,3,98,3,3,2,98,98,3,3,2,2,2,98,,98,,98,,2,2,2,2,2,2,,1,,2,2,2,3,3,1,1,2,3,1,2,2,2,2,0.78
261,"B",12,8,2,"IN",3,2,,,,,,,,,,,,,,,,,2,"NO EVIDENCE",3,3,3,2,3,1,1,2,1,4,1,2,3,2,3,3,3,,2,,2,,2,3,3,3,3,3,,3,,6,1,3,3,3,1,1,1,1,4,5,98,1,3,1,0.84
262,"B",12,8,4,"WA",4,98,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,98,98,4,4,2,2,2,,1,,98,,2,98,2,4,1,1,,4,,1,2,1,1,1,3,1,1,2,5,2,1,5,,2,0.36
263,"A",12,8,2,"NY",1,1,1,1,2,2,"ICEBERGS MELTING",1,1,4,2,4,4,,4,1,4,4,,,,,,,4,4,2,4,4,2,98,98,4,4,1,1,1,2,,2,,2,,4,2,98,4,4,4,,6,,2,2,98,2,2,1,2,,4,1,3,4,5,2,0.94
264,"B",12,8,3,"NC",2,1,1,3,1,1,"PERSONAL OBSERVATIONS",2,1,1,1,1,,2,1,1,1,1,,,,,,,3,1,2,1,1,1,1,1,2,2,2,1,1,,2,,1,,2,2,2,2,2,2,,2,,3,1,2,3,2,3,10,98,,3,5,4,1,1,1,1.18
265,"B",12,8,3,"NH",1,1,1,3,2,2,"TEMPERATURES",2,2,1,2,1,,3,2,2,2,1,,,,,,,2,2,2,3,1,3,2,1,2,2,1,1,1,,2,,2,,2,3,3,3,3,2,,3,,2,2,2,2,4,2,1,2,,2,2,3,3,3,2,0.85
266,"A",12,8,3,"TX",2,1,1,1,1,1,"WEATHER PATTERNS",3,1,1,2,1,1,,3,1,1,1,,,,,,,4,4,98,3,4,1,2,2,3,3,1,1,1,1,,98,,1,,98,2,3,2,2,3,,1,,1,2,2,2,2,1,6,,3,1,1,3,2,2,0.73
267,"A",12,8,3,"OH",3,2,,,,,,,,,,,,,,,,,2,"NOT ENOUGH DATA",3,2,3,4,1,3,3,1,1,2,2,2,2,2,2,2,2,2,,2,,2,,3,2,2,2,2,2,,1,,1,3,3,3,3,1,2,,4,5,4,3,,1,0.26
268,"A",12,8,4,"KY",2,1,2,3,2,2,"ALL THE STORMS",3,1,2,4,1,4,,2,1,1,1,,,,,,,4,3,2,4,4,4,1,4,4,4,1,1,1,2,,2,,2,,3,3,3,4,4,4,,1,,1,2,4,4,2,2,2,,3,1,1,4,2,2,1.17
269,"B",12,8,3,"PA",1,1,1,1,2,2,"MANUFACTURING",8,2,2,2,2,,2,2,98,98,2,,,,,,,4,4,4,4,4,1,98,98,4,4,1,1,1,,2,,2,,2,4,4,4,4,4,,4,,6,1,1,4,4,2,1,2,,3,1,1,3,5,1,0.63
270,"A",12,8,3,"CA",4,1,2,1,1,1,"POLAR ICE MELTING",1,1,3,4,1,2,,1,2,1,1,,,,,,,4,4,4,4,4,4,1,3,4,4,1,2,2,2,,2,,2,,2,1,1,2,1,1,,4,,4,1,2,2,2,9,2,,4,1,4,4,3,2,2.91
271,"B",12,8,4,"AL",2,1,1,2,2,2,"TIME OF WORLD",9,2,2,3,3,,3,3,4,4,3,,,,,,,2,2,1,1,3,1,2,1,98,2,1,1,1,,2,,2,,2,4,4,4,4,4,,4,,1,1,4,4,4,3,1,7,,2,1,4,3,,1,0.8
